@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00057 , 0.0208 , -0.0401 , -5.9596 , 3.7776
-0.00139 , 0.1248 , -0.0700 , -6.0945 , 3.1357
-0.00097 , 0.1778 , -0.0047 , -6.2318 , 2.4802
0.00056 , 0.2277 , 0.0599 , -6.3989 , 1.7322
0.00086 , 0.2803 , 0.1262 , -6.5409 , 1.0745
-2E-05 , 0.1546 , 0.1411 , -6.7185 , 0.3508
-0.00019 , 0.0281 , 0.1594 , -6.9030 , -0.3567
0.00142 , -0.1001 , 0.1797 , -7.0955 , -1.0463
0.00126 , -0.1712 , 0.0810 , -7.2963 , -1.7220
0.00067 , -0.2334 , -0.0161 , -7.4567 , -2.3511
-0.00212 , -0.2911 , -0.1114 , -7.6183 , -2.9851
-0.00581 , -0.1809 , -0.1712 , -7.7256 , -3.6016
-0.00858 , -0.0747 , -0.2299 , -7.8268 , -4.2383
-0.01025 , 0.0301 , -0.2883 , -7.8658 , -4.8936
-0.00835 , 0.1020 , -0.2079 , -7.3375 , -4.6799
-0.00359 , 0.1697 , -0.1241 , -6.9087 , -4.4866
0.0022 , 0.2360 , -0.0384 , -6.5106 , -4.3022
0.00622 , 0.1391 , 0.0467 , -5.1371 , -4.6486
0.00955 , 0.0414 , 0.1282 , -3.7958 , -4.9868
0.01118 , -0.0549 , 0.2099 , -2.4015 , -5.3273
0.01062 , -0.1225 , 0.1327 , -1.3509 , -6.0575
0.0066 , -0.1891 , 0.0567 , -0.3054 , -6.7895
-0.00074 , -0.2550 , -0.0181 , 0.7350 , -7.5233
-0.00683 , -0.1686 , -0.0871 , 1.1016 , -7.6528
-0.00955 , -0.0832 , -0.1559 , 1.4961 , -7.7683
-0.01243 , 0.0001 , -0.2212 , 1.8758 , -7.8755
-0.01257 , 0.0822 , -0.1635 , 2.2639 , -7.9835
-0.00991 , 0.1659 , -0.1020 , 2.6000 , -8.0839
-0.00451 , 0.2496 , -0.0341 , 2.9058 , -8.1687
0.00163 , 0.1583 , 0.0332 , 3.1882 , -8.2553
0.00346 , 0.0723 , 0.0956 , 3.4336 , -8.3343
0.00608 , -0.0156 , 0.1518 , 3.6718 , -8.4341
0.00551 , -0.0977 , 0.0615 , 3.8973 , -8.5349
0.00182 , -0.1806 , -0.0311 , 4.1098 , -8.6368
-0.003 , -0.2630 , -0.1250 , 4.3189 , -8.7479
-0.0074 , -0.1895 , -0.1778 , 4.5132 , -8.8683
-0.01188 , -0.1179 , -0.2293 , 4.6568 , -8.9828
-0.01431 , -0.0470 , -0.2786 , 4.7741 , -9.0965
-0.01496 , 0.0619 , -0.1811 , 5.3128 , -8.6706
-0.01202 , 0.1691 , -0.0821 , 5.9202 , -8.2888
-0.00849 , 0.2743 , 0.0192 , 6.6063 , -7.9389
-0.00293 , 0.1957 , 0.0977 , 6.6720 , -8.4855
-0.00072 , 0.1170 , 0.1761 , 6.7335 , -9.0218
0.00091 , 0.0392 , 0.2516 , 6.7821 , -9.5445
0.00081 , -0.0574 , 0.1496 , 6.0676 , -9.8766
-0.00035 , -0.1531 , 0.0423 , 5.3604 , -10.2220
-0.00622 , -0.2485 , -0.0660 , 4.6447 , -10.5416
-0.01112 , -0.1981 , -0.1387 , 4.5280 , -10.3251
-0.01512 , -0.1449 , -0.2022 , 4.4063 , -10.0985
-0.01707 , -0.0910 , -0.2626 , 4.2782 , -9.8923
-0.01752 , 0.0317 , -0.1692 , 4.1425 , -9.6783
-0.01413 , 0.1502 , -0.0736 , 4.0029 , -9.4780
-0.00977 , 0.2668 , 0.0279 , 3.8513 , -9.2744
-0.00446 , 0.2011 , 0.0922 , 3.7038 , -9.0909
0.00081 , 0.1354 , 0.1545 , 3.5539 , -8.9060
0.00335 , 0.0684 , 0.2155 , 3.4022 , -8.7226
0.00246 , -0.0373 , 0.0991 , 3.2489 , -8.5429
-0.00055 , -0.1431 , -0.0183 , 3.1042 , -8.3686
-0.00619 , -0.2466 , -0.1384 , 2.9377 , -8.1936
-0.01172 , -0.1984 , -0.1977 , 2.7681 , -8.0251
-0.01639 , -0.1495 , -0.2545 , 2.5968 , -7.8702
-0.01865 , -0.1000 , -0.3111 , 2.4077 , -7.7186
-0.01716 , 0.0308 , -0.1755 , 2.6246 , -7.3463
-0.0133 , 0.1600 , -0.0389 , 2.8702 , -6.9478
-0.00741 , 0.2889 , 0.1001 , 3.1331 , -6.5354
-0.00204 , 0.2315 , 0.1884 , 3.1036 , -6.4901
0.00422 , 0.1707 , 0.2750 , 3.0686 , -6.4497
0.0066 , 0.1080 , 0.3615 , 3.0319 , -6.3989
0.00612 , -0.0153 , 0.2409 , 2.5413 , -6.6874
0.00294 , -0.1392 , 0.1192 , 2.0448 , -6.9942
-0.00272 , -0.2625 , -0.0018 , 1.5464 , -7.3211
-0.00855 , -0.2242 , -0.0956 , 1.3538 , -7.1537
-0.01204 , -0.1856 , -0.1870 , 1.1603 , -7.0027
-0.01543 , -0.1484 , -0.2776 , 0.9766 , -6.8280
-0.01574 , -0.0132 , -0.1708 , 0.8050 , -6.6336
-0.01279 , 0.1209 , -0.0618 , 0.6248 , -6.4363
-0.00865 , 0.2544 , 0.0504 , 0.4337 , -6.2298
-0.00211 , 0.2139 , 0.1276 , 0.2427 , -6.0248
0.00275 , 0.1743 , 0.2037 , 0.0603 , -5.8170
0.00564 , 0.1353 , 0.2784 , -0.1231 , -5.6132
0.00584 , 0.0053 , 0.1527 , -0.3177 , -5.4149
0.00339 , -0.1257 , 0.0265 , -0.5128 , -5.2274
-0.00099 , -0.2564 , -0.0983 , -0.7160 , -5.0404
-0.00775 , -0.2244 , -0.1824 , -0.9126 , -4.8551
-0.00281 , -0.0972 , -0.2248 , -2.6969 , 2.0327
