@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00336 , -0.1826 , -0.0996 , 4.9761 , -9.5356
-0.00889 , -0.1207 , -0.1728 , 5.2785 , -9.6345
-0.01301 , -0.0590 , -0.2413 , 5.5453 , -9.7238
-0.01518 , 0.0206 , -0.1754 , 5.7414 , -8.9645
-0.01498 , 0.1007 , -0.1090 , 5.9981 , -8.2533
-0.01089 , 0.1870 , -0.0367 , 6.3055 , -7.5990
-0.00747 , 0.1345 , 0.0611 , 6.3368 , -8.2325
-0.00271 , 0.0870 , 0.1591 , 6.3838 , -8.8731
-0.00123 , 0.0289 , 0.2522 , 6.4166 , -9.4809
0.00032 , -0.0376 , 0.1958 , 5.8722 , -9.7796
0.0014 , -0.1103 , 0.1377 , 5.3182 , -10.0673
-0.00031 , -0.1777 , 0.0775 , 4.7640 , -10.3434
-0.00347 , -0.1342 , -0.0077 , 4.6540 , -10.2116
-0.00817 , -0.0864 , -0.0911 , 4.5423 , -10.0677
-0.01268 , -0.0400 , -0.1714 , 4.4259 , -9.9267
-0.0153 , 0.0533 , -0.1247 , 4.3062 , -9.7865
-0.01584 , 0.1481 , -0.0727 , 4.1804 , -9.6346
-0.01239 , 0.2379 , -0.0196 , 4.0458 , -9.4901
-0.00767 , 0.1871 , 0.0597 , 3.8989 , -9.3485
-0.00293 , 0.1332 , 0.1384 , 3.7451 , -9.2049
0.00055 , 0.0803 , 0.2131 , 3.6042 , -9.0706
0.00203 , -0.0073 , 0.1336 , 3.4735 , -8.9379
0.00073 , -0.0949 , 0.0562 , 3.3366 , -8.8102
-0.00124 , -0.1811 , -0.0210 , 3.2010 , -8.6924
-0.00639 , -0.1426 , -0.0930 , 3.0637 , -8.5767
-0.01156 , -0.1053 , -0.1655 , 2.9118 , -8.4651
-0.01572 , -0.0687 , -0.2351 , 2.7565 , -8.3578
-0.01819 , 0.0321 , -0.1492 , 2.7631 , -8.1430
-0.01734 , 0.1327 , -0.0611 , 2.8092 , -7.8983
-0.01388 , 0.2326 , 0.0307 , 2.8799 , -7.6333
-0.00784 , 0.1895 , 0.1293 , 2.8728 , -7.6836
-0.00098 , 0.1458 , 0.2283 , 2.8530 , -7.7522
0.00367 , 0.0986 , 0.3233 , 2.8314 , -7.8226
0.00492 , -0.0017 , 0.2419 , 2.4769 , -8.0947
0.00341 , -0.1030 , 0.1596 , 2.1251 , -8.3734
0.00083 , -0.2007 , 0.0775 , 1.7659 , -8.6625
-0.0025 , -0.1759 , -0.0168 , 1.4997 , -8.3995
-0.00743 , -0.1509 , -0.1133 , 1.2329 , -8.1240
-0.01178 , -0.1273 , -0.2073 , 0.9645 , -7.8628
-0.01457 , -0.0226 , -0.1421 , 0.7017 , -7.5914
-0.01437 , 0.0835 , -0.0714 , 0.4413 , -7.3219
-0.01205 , 0.1934 , 0.0087 , 0.1809 , -7.0551
-0.00732 , 0.1669 , 0.0862 , -0.0651 , -6.7609
-0.00219 , 0.1423 , 0.1685 , -0.3142 , -6.4807
0.00119 , 0.1190 , 0.2494 , -0.5607 , -6.2010
0.00282 , 0.0141 , 0.1605 , -0.8064 , -5.9183
0.00204 , -0.0927 , 0.0745 , -1.0627 , -5.6456
-0.00045 , -0.1994 , -0.0136 , -1.3133 , -5.3809
-0.0042 , -0.1755 , -0.1000 , -1.5721 , -5.1315
-0.00941 , -0.1488 , -0.1821 , -1.8404 , -4.8982
-0.01438 , -0.1203 , -0.2613 , -2.0913 , -4.6587
-0.01677 , -0.0119 , -0.1585 , -1.8428 , -4.4626
-0.01597 , 0.0913 , -0.0543 , -1.5829 , -4.2652
-0.01247 , 0.1950 , 0.0507 , -1.3235 , -4.0494
