@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.0127 , 0.009969 , -0.010493 , 0.1516 , -0.0118 , 3.5399 , -8.8184
-0.00648 , 0.013414 , -0.006357 , 0.2599 , 0.1133 , 3.3664 , -8.6775
-0.00173 , 0.013413 , -0.003948 , 0.1887 , 0.1459 , 3.2211 , -8.5614
0.00063 , 0.009684 , -0.002829 , 0.1172 , 0.1770 , 3.0763 , -8.4433
0.00055 , 0.006654 , -0.001762 , 0.0458 , 0.2065 , 2.9377 , -8.3282
-0.00133 , 0.003726 , -0.003871 , -0.0501 , 0.0688 , 2.7988 , -8.2170
-0.00641 , 0.0004 , -0.008263 , -0.1464 , -0.0705 , 2.6551 , -8.1020
-0.0128 , -0.003587 , -0.012692 , -0.2418 , -0.2111 , 2.5105 , -7.9961
-0.01742 , -0.003434 , -0.015132 , -0.1903 , -0.2444 , 2.3708 , -7.9064
-0.02163 , -0.002235 , -0.016061 , -0.1390 , -0.2758 , 2.2312 , -7.8146
-0.02201 , 0.000351 , -0.016876 , -0.0874 , -0.3035 , 2.0998 , -7.7404
-0.01928 , 0.004313 , -0.013791 , 0.0385 , -0.1375 , 2.4440 , -7.2931
-0.01304 , 0.008391 , -0.007949 , 0.1642 , 0.0315 , 2.7852 , -6.8622
-0.00741 , 0.013956 , -0.002137 , 0.2933 , 0.1977 , 3.1251 , -6.4099
-0.00109 , 0.014153 , 0.001248 , 0.2338 , 0.2506 , 3.0732 , -6.4060
0.00654 , 0.010868 , 0.002959 , 0.1705 , 0.3027 , 3.0302 , -6.3735
0.01029 , 0.008238 , 0.004722 , 0.1053 , 0.3559 , 2.9929 , -6.3293
0.00655 , 0.004734 , 0.002618 , -0.0130 , 0.2126 , 2.5331 , -6.5888
0.0005 , -0.00055 , -0.002327 , -0.1313 , 0.0672 , 2.0703 , -6.8517
-0.00805 , -0.005138 , -0.00735 , -0.2495 , -0.0781 , 1.6048 , -7.1317
-0.0171 , -0.005813 , -0.010741 , -0.2095 , -0.1483 , 1.4428 , -7.0123
-0.02247 , -0.003756 , -0.012884 , -0.1698 , -0.2178 , 1.2779 , -6.8928
-0.02232 , -0.003149 , -0.014925 , -0.1328 , -0.2849 , 1.1117 , -6.7733
-0.01916 , 0.000964 , -0.013008 , -0.0031 , -0.1454 , 0.9537 , -6.6335
-0.01243 , 0.00453 , -0.008245 , 0.1244 , -0.0005 , 0.7977 , -6.4995
-0.00528 , 0.009411 , -0.003336 , 0.2514 , 0.1470 , 0.6520 , -6.3510
-8E-05 , 0.009665 , -0.000346 , 0.2069 , 0.1933 , 0.5125 , -6.2023
0.00229 , 0.007838 , 0.001219 , 0.1658 , 0.2367 , 0.3709 , -6.0608
0.00357 , 0.005523 , 0.003179 , 0.1254 , 0.2815 , 0.2396 , -5.9281
0.00141 , -0.012798 , 0.002159 , -0.1234 , -0.0708 , -6.1225 , 3.3513
0.00051 , -0.012774 , -0.000107 , -0.1032 , -0.1325 , -6.7701 , 3.1275
-0.00042 , -0.010993 , 0.000216 , -0.0154 , -0.0695 , -7.1227 , 3.2272
0.00078 , -0.008549 , 0.002333 , 0.0727 , -0.0069 , -7.4649 , 3.3273
